Time [s], Analyzer Name, Decoded Protocol Result
0.067441000000000,SPI,MOSI: 0x00;  MISO: 0x21
0.067449000000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.067491750000000,SPI,MOSI: 0x00;  MISO: 0x21
0.067499750000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.067532000000000,SPI,MOSI: 0x00;  MISO: 0x21
0.067540000000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.067583250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.067591250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.067623250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.067631250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.067664250000000,SPI,MOSI: 0x00;  MISO: 0x4E
0.067672250000000,SPI,MOSI: 0x00;  MISO: 0xA1
0.067680250000000,SPI,MOSI: 0x00;  MISO: 0xA3
0.067688250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067696250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067704250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067712250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067720250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067728250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067736250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067744250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067752250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067760250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067768250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067776250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067784250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067792250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067800250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067808250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067816250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067824250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067832250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067840250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067848250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067856250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067864250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067872250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067880250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067888250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067896250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067904250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067912250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067920250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067928250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067936250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067944250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067952250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067960250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067968250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067976250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067984250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.067992250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068000250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068008250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068016250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068024250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068032250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068040250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068048250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068056250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068064250000000,SPI,MOSI: 0x00;  MISO: 0x80
0.068072250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068080250000000,SPI,MOSI: 0x00;  MISO: 0x80
0.068088250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068096500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068104250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068112500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068120250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068128500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068136250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068144500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068152500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068160500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068168500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068176500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068184500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068192500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068200500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068208250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068216500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068224250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068232500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068240500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068248500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068256500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.068264500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069334500000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069342500000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069377250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069385250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069417000000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069425000000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069456750000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069464750000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069508250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069516250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069548250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069556250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069588250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069596250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069632000000000,SPI,MOSI: 0x00;  MISO: 0x21
0.069640000000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.069673250000000,SPI,MOSI: 0x00;  MISO: 0xD0
0.069681500000000,SPI,MOSI: 0x00;  MISO: 0xA1
0.069689500000000,SPI,MOSI: 0x00;  MISO: 0x2B
0.069697500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069705500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069713500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069721250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069729500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069737500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069745500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069753500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069761500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069769500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069777500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069785500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069793500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069801500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069809500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069817500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069825500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069833500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069841500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069849500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069857500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069865500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069873500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069881500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069889500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069897500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069905500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069913500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069921500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069929500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069937500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069945500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069953500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069961500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069969500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069977500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069985500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.069993500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070001500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070009500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070017500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070025500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070033500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070041500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070049500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070057500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070065500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070073500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070081500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070089500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070097500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070105500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070113500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070121500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070129500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070137500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.070145500000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071308250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071316250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071351250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071359250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071391250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071399250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071431000000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071439000000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071470750000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071478750000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071515500000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071523500000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071566000000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071574000000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071606250000000,SPI,MOSI: 0x00;  MISO: 0x21
0.071614250000000,SPI,MOSI: 0x00;  MISO: 0xF2
0.071647250000000,SPI,MOSI: 0x00;  MISO: 0x2B
0.071655250000000,SPI,MOSI: 0x00;  MISO: 0xFB
0.071663250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071671250000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071712000000000,SPI,MOSI: 0x00;  MISO: 0x4F
0.071720000000000,SPI,MOSI: 0x00;  MISO: 0xA1
0.071728000000000,SPI,MOSI: 0x00;  MISO: 0x4A
0.071736000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071744000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071752000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071760000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071768000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071776000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071784000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071792000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071800000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071808000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071816000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071824000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071832000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071840000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071848000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071856000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071864000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071872000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071880000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071888000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071896000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071904000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071912000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071920000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071928000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071936000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071944000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071952000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071960000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071968000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071976000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071984000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.071992000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072000000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072008000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072016000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072024000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072032000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072040000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072048000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072056000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072064000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072072000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072080000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072088000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072096000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072104000000000,SPI,MOSI: 0x00;  MISO: 0x00
0.072112000000000,SPI,MOSI: 0x00;  MISO: 0x00
